word,1700-1709,1710-1719,1720-1729,1730-1739,1740-1749,1750-1759,1760-1769,1770-1779,1780-1789,1790-1799,num_decades,rank
improvements,7,1,2,1,2,1,3,3,1,1,10,1
improving,2,2,1,7,1,3,1,4,2,5,10,2
usefulness,8,3,4,6,11,4,6,10,8,3,10,3
proficiency,6,9,6,5,8,19,7,14,12,10,10,4
attainment,5,23,30,13,15,2,4,2,4,2,10,5
acquiring,15,12,13,14,13,8,9,22,5,4,10,6
advancement,26,18,5,28,7,5,10,9,15,20,10,7
cultivation,3,65,41,33,4,6,2,1,3,6,10,8
cultivating,43,10,7,2,3,7,23,5,22,53,10,9
attaining,9,7,20,9,6,12,21,39,10,56,10,10
bettering,1,17,9,3,79,16,11,15,23,19,10,11
utility,66,14,36,43,41,15,5,6,7,12,10,12
edification,36,22,32,29,23,17,19,32,45,17,10,13
illustration,79,68,26,73,32,37,31,48,70,45,10,14
knowledge,,49,14,12,5,20,16,11,6,13,9,15
acquisition,65,6,11,4,,9,13,8,20,36,9,16
perfecting,4,11,18,,25,32,26,21,37,32,9,17
accomplishment,,4,12,35,87,10,15,25,21,41,9,18
industry,34,25,24,23,56,46,76,61,48,,9,19
promoting,62,28,70,30,94,35,45,98,41,,9,20
instruction,10,,10,21,12,29,30,17,,25,8,21
acquisitions,,73,72,8,,45,36,16,25,37,8,22
learning,,74,,68,22,76,28,23,11,24,8,23
literature,39,,87,18,,73,87,94,54,59,8,24
embellishment,,36,3,,10,39,8,7,,7,7,25
improved,,,58,15,26,30,,38,28,22,7,26
improve,,,,38,17,22,25,84,14,39,7,27
facilitating,,,77,17,9,33,68,,29,29,7,28
well-being,32,,31,67,,,29,62,27,77,7,29
abridging,37,,35,37,43,,52,67,,68,7,30
application,94,5,71,11,74,,71,41,,,7,31
contributing,,39,,84,14,38,54,57,93,,7,32
cheapness,,,79,93,50,23,,34,49,62,7,33
study,46,,,,75,90,92,26,43,50,7,34
deficiencies,,,65,74,33,68,67,78,58,,7,35
modelling,91,96,27,60,36,,99,,,75,7,36
enlargement,,,28,90,78,26,,20,,18,6,37
regulation,23,58,,56,19,,35,79,,,6,38
attainments,,,55,45,,,66,18,76,21,6,39
refinement,54,53,17,34,,,,,73,61,6,40
economy,,,43,,24,21,33,,,23,5,41
experimental,12,29,,,35,,,59,,55,5,42
propagating,24,50,,48,30,,51,,,,5,43
ascertaining,,,,,,18,58,71,31,33,5,44
agriculture,49,61,,,,,27,35,50,,5,45
illustrating,,,,,59,,80,24,19,47,5,46
benefit,,,23,69,68,27,,50,,,5,47
forwarding,,,,61,52,44,,30,57,,5,48
retrieving,,78,76,24,20,49,,,,,5,49
estimating,,,,,,60,32,64,16,79,5,50
convenience,35,,,,93,,,31,74,34,5,51
civilizing,,,51,27,53,55,84,,,,5,52
fecundity,,81,,25,,31,,,61,88,5,53
insufficiency,,,,42,,92,,36,77,42,5,54
expediency,,,,20,98,,38,60,87,,5,55
investigation,,,,,99,13,62,68,,69,5,56
establishing,75,,8,,70,,,,83,78,5,57
exactness,,52,59,,,75,64,93,,,5,58
augmentation,22,66,,80,,,90,,,90,5,59
manufacture,,16,19,10,,36,,,,,4,60
forecast,,33,,,,28,20,,34,,4,61
regulating,20,,16,,,51,37,,,,4,62
embellishments,,13,47,36,,,40,,,,4,63
furtherance,28,,46,,,,,13,62,,4,64
relaxations,,,84,,,,,37,38,9,4,65
gardening,51,8,,,,,,69,,49,4,66
advantage,,,82,16,,50,,,40,,4,67
accommodations,,72,,51,21,,,54,,,4,68
education,,,,,,86,,19,39,66,4,69
estimate,56,19,,,,,57,,,97,4,70
permanency,,,,,,65,,89,13,65,4,71
fertility,,26,,92,57,58,,,,,4,72
calculating,68,,,,71,56,,,,52,4,73
useful,,,97,,48,,,,88,72,4,74
adapting,,48,,91,89,,,,,87,4,75
abilities,,,90,77,,78,85,,,,4,76
inefficacy,,,,,,,,12,9,27,3,77
seminaries,,,,,,,34,,44,26,3,78
investigations,,,,,,,43,29,36,,3,79
accuracy,33,15,,64,,,,,,,3,80
accommodating,44,32,,,,,41,,,,3,81
ingenuity,,,,39,45,,,33,,,3,82
correctness,,,,,,63,,51,,11,3,83
refinements,17,,,,,,,,65,43,3,84
sufficiency,,,42,53,34,,,,,,3,85
conservation,14,21,,97,,,,,,,3,86
furthering,,,,22,,47,,,,73,3,87
minutia,,,,,,,22,,90,31,3,88
soundness,38,27,,,,,79,,,,3,89
accessions,,,,,,24,,46,,76,3,90
enriching,42,,,,31,,,73,,,3,91
accruing,59,,39,,,,,55,,,3,92
extensiveness,,,,,37,100,18,,,,3,93
ratiocination,48,34,,,,,,,75,,3,94
mechanism,,,56,63,,,46,,,,3,95
revival,,,,32,,,48,85,,,3,96
furnishing,,45,62,,62,,,,,,3,97
instability,11,95,,66,,,,,,,3,98
intellectual,,,,,,,100,,26,48,3,99
adjustment,,,67,,77,,,45,,,3,100
establishment,,,50,,,42,97,,,,3,101
compiling,41,,63,,,,,88,,,3,102
restorers,,62,,70,,,61,,,,3,103
amending,,,,,,,53,52,91,,3,104
employment,,,,,,81,,77,46,,3,105
practical,45,,96,,64,,,,,,3,106
perpetuating,,,,44,66,97,,,,,3,107
planting,,,,47,67,95,,,,,3,108
liability,,,,,,,,81,72,58,3,109
exertion,,55,,,,,72,91,,,3,110
endowment,,,,78,,,56,,,89,3,111
revising,,,,,,,98,90,35,,3,112
deficiency,,69,,59,,,,96,,,3,113
disquisition,,76,,,54,,,,100,,3,114
allotment,,,,,,87,55,92,,,3,115
aggrandizing,,,,46,91,,,,98,,3,116
conveniences,,93,,,86,,,56,,,3,117
discoveries,,,,,65,,,,94,95,3,118
earning,82,,,,,93,,86,,,3,119
exigencies,,,,100,95,67,,,,,3,120
elucidation,,,,,,,,42,17,,2,121
gratification,40,24,,,,,,,,,2,122
profiting,31,,33,,,,,,,,2,123
educating,21,,,49,,,,,,,2,124
effecting,,,,,46,,,,24,,2,125
progresses,27,,,,44,,,,,,2,126
pleasantness,,,,,27,,47,,,,2,127
accomplishing,25,,,,,,50,,,,2,128
medicaments,30,,,,47,,,,,,2,129
phraseology,,,53,26,,,,,,,2,130
philology,,,,,,,,28,52,,2,131
civilization,,,,,,,,,67,15,2,132
husbanding,,,,65,18,,,,,,2,133
upholding,53,31,,,,,,,,,2,134
amusement,,,,,,,,,42,44,2,135
absentees,,,,,29,59,,,,,2,136
badness,13,,,76,,,,,,,2,137
parsimony,,,52,,38,,,,,,2,138
sterility,,,,,,,74,,18,,2,139
anatomist,,,,,,57,39,,,,2,140
commensurate,,,,41,,,,,,57,2,141
politics,57,,45,,,,,,,,2,142
instructing,,,,,,,65,,,38,2,143
complications,,56,,,,,,,51,,2,144
ridiculousness,,,,58,,,,49,,,2,145
theoretical,,,,,,,60,,47,,2,146
diversifying,,,,,,82,,,,28,2,147
re-establishment,,,,,16,,,,,96,2,148
developing,,,,,,,,97,,16,2,149
rectifying,16,,,,,,,100,,,2,150
progress,,,,,,,,,53,64,2,151
regularity,76,41,,,,,,,,,2,152
vending,,,25,95,,,,,,,2,153
distributions,,,,,,89,,,32,,2,154
prejudicing,,,,,,62,,,59,,2,155
encouragement,,,,,,64,,58,,,2,156
exhibiting,,,61,62,,,,,,,2,157
facilitated,,,,,,,70,,,54,2,158
satisfactions,,,,89,,,,,,35,2,159
capacity,,,,,,69,59,,,,2,160
plantation,,64,,,69,,,,,,2,161
seasoning,,99,,,,34,,,,,2,162
compensates,,,,,,,,83,,51,2,163
impairing,,40,,,,,94,,,,2,164
well-ordered,,,,,,,69,65,,,2,165
adroitness,,,,,,66,,,69,,2,166
incomes,,37,,99,,,,,,,2,167
fineness,58,79,,,,,,,,,2,168
narrowness,88,51,,,,,,,,,2,169
plating,,,,,,,,,80,60,2,170
conducive,,54,,,,,,87,,,2,171
versatility,,,,,,,,,60,81,2,172
accumulating,,,,50,,,95,,,,2,173
versification,47,,98,,,,,,,,2,174
dependencies,,100,,,,,,47,,,2,175
retrenching,,,,,,,,,55,93,2,176
manufactures,,,,,81,70,,,,,2,177
accelerating,,,,,,,,70,,83,2,178
remedying,,,,,82,,,72,,,2,179
attainable,,83,,,,,77,,,,2,180
deduction,,86,,,,,,,,74,2,181
cultivate,,87,,,,,,74,,,2,182
inculcating,,,,,,88,73,,,,2,183
specimens,,,75,87,,,,,,,2,184
inquisitiveness,,,,,96,,,,,70,2,185
purchasing,,98,68,,,,,,,,2,186
propagation,,82,,85,,,,,,,2,187
accumulations,,,,,,,,,78,91,2,188
embellishing,,,85,,,,,,,86,2,189
correcting,,,81,,,,91,,,,2,190
strengthening,80,92,,,,,,,,,2,191
polishing,,,,,92,,81,,,,2,192
learners,99,,,,,,75,,,,2,193
aptitude,,,78,,,,,,,100,2,194
anatomical,96,89,,,,,,,,,2,195
deism,92,,93,,,,,,,,2,196
exercising,,91,,94,,,,,,,2,197
activity,98,90,,,,,,,,,2,198
researches,,94,,98,,,,,,,2,199
equipment,,,,,,98,,99,,,2,200
agricultural,,,,,,,,,,8,1,201
enrichment,,,,,,11,,,,,1,202
instilling,,,,,,,12,,,,1,203
diversities,,,,,,,,,,14,1,204
perversion,,,,,,14,,,,,1,205
practising,,,,,,,14,,,,1,206
bathos,,,15,,,,,,,,1,207
operative,,,,,,,17,,,,1,208
sugars,18,,,,,,,,,,1,209
newness,19,,,,,,,,,,1,210
upholders,,,,19,,,,,,,1,211
preservation,,20,,,,,,,,,1,212
